Cidade,UF,IndiceConcorrenciaFraca,TotalResultados,Sociais,Diretorios,Marketplaces,SitesProprios
"Santa Rosa","RS",22.2,9,2,0,0,7
"Barcarena","PA",25.0,8,1,1,0,6
"Embu-Guaçu","SP",0.0,9,0,0,0,9
"Cabedelo","PB",22.2,9,2,0,0,7
"Sapucaia do Sul","RS",0.0,9,0,0,0,9
"Viana","ES",12.5,8,1,0,0,7
"Indaial","SC",25.0,8,2,0,0,6
"Tangará da Serra","MT",50.0,8,2,2,0,4
"Itapipoca","CE",42.9,7,3,0,0,4
"Santo Amaro","BA",0.0,9,0,0,0,9
"Salgueiro","PE",12.5,8,1,0,0,7
"Crateús","CE",14.3,7,0,1,0,6
"Tijucas","SC",12.5,8,1,0,0,7
"Extrema","MG",0.0,9,0,0,0,9
"Belo Jardim","PE",0.0,8,0,0,0,8
"Medianeira","PR",44.4,9,3,1,0,5
"Camocim","CE",22.2,9,1,1,0,7
"União da Vitória","PR",22.2,9,2,0,0,7
"Santa Isabel","SP",11.1,9,1,0,0,8
"Cristalina","GO",10.0,10,1,0,0,9
"Brejo Santo","CE",11.1,9,1,0,0,8
"Alta Floresta","MT",33.3,9,2,1,0,6
"Santo Ângelo","RS",33.3,9,2,1,0,6
"Abreu e Lima","PE",11.1,9,1,0,0,8
"Vargem Grande Paulista","SP",0.0,9,0,0,0,9
"Itabaiana","SE",25.0,8,1,1,0,6
"Barra","BA",11.1,9,1,0,0,8
"Santo Antônio de Jesus","BA",33.3,9,2,1,0,6
"Nova Lima","MG",0.0,9,0,0,0,9
"Mesquita","RJ",11.1,9,0,1,0,8
"Bom Jesus da Lapa","BA",11.1,9,0,1,0,8
"Boa Viagem","CE",0.0,9,0,0,0,9
"Araci","BA",0.0,8,0,0,0,8
"Moreno","PE",0.0,9,0,0,0,9
"Ipojuca","PE",0.0,9,0,0,0,9
"Nova Andradina","MS",11.1,9,0,1,0,8
"Valença","RJ",25.0,8,2,0,0,6
"Naviraí","MS",22.2,9,1,1,0,7
"Ijuí","RS",12.5,8,1,0,0,7
"Concórdia","SC",33.3,9,3,0,0,6
"Viçosa do Ceará","CE",11.1,9,1,0,0,8
"Garanhuns","PE",28.6,7,1,1,0,5
"Gravatá","PE",22.2,9,2,0,0,7
"Canguçu","RS",20.0,5,1,0,0,4
"Janaúba","MG",11.1,9,1,0,0,8
"Marechal Cândido Rondon","PR",0.0,8,0,0,0,8
"São Francisco","MG",11.1,9,1,0,0,8
